,Data transferring sheet,,Please do not manually edit this sheet! All of these values are picked from other sheets. Only add data to this sheet by referencing other data.,,,,,,,,,,,,,,,,,
,1. Export as CSV ,,,,,,,,,,,,,,,,,,,
,2. Run the recreate_database.js script ,,,,,,,,,,,,,,,,,,,
,(see github project readme),,,,,,,,,,,,,,,,,,,
,updated 02/14/21 by glottsi,,,,,,,,,,,,,,,,,,,
Total,Complete data,Incomplete,,,,,,,,,,,,,,,,,,
37,3,34,,,,,,,,,,,,,,,,,,
,Incomplete data,user_name,nickname,is_partner,stream_start_date,avg_viewers,followers,languages,ethnicity,categories,chat_vibes,stream_vibes,uses_cam,streams_per_week,avg_start_time,mature_stream,avg_stream_duration,chat_mode,gender,logo
,1,ryusera,Sera,Y,02/27/2020,116,"6,075",EN/KR,Korean,"Just Chatting, Music",chatty/friendly/nonswearing/silly/wholesome,,Cam,3,5:00,FALSE,4,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/bb8a9ab8-4d6b-4e39-a939-16a766173c1a-profile_image-300x300.png
,2,Starrypooh,Yin,N,10/07/2015,90,"9,737",EN,Chinese American,"Just Chatting, Game",,,Cam,7,20:00,FALSE,2,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/fa59fad0-eac6-43da-baa5-519592943135-profile_image-300x300.png
,4,starsmitten,Celine,Y,07/18/2015,834,"89,467",EN,Korean American,Game,,,Cam,,,FALSE,5,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/571b454d-36a6-4f98-a697-31cb7af76044-profile_image-300x300.png
,3,SuppyColleen,Caitlin / Colleen,Y,07/19/2015,"1,077","88,061",EN,Taiwanese American,"Just Chatting, Game",fast/funny/toxic/troll,chatty/dorky/friendly/loud,Cam,,,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/d7cda3f2-387b-4b78-89af-d5c93d6aebe9-profile_image-300x300.png
,4,toastttmalone,toast,N,09/08/2015,34,"3,982",EN/CN,Chinese Canadian,"Just Chatting, Game, Food",chill/funny/toxic/troll,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/388ee6c7-2c18-491c-8b22-fd2b8555dc7a-profile_image-300x300.png
,4,tyongeee,auntie,N,05/17/2019,734,"21,286",EN/KR,Korean,"Just Chatting, Talk Shows & Podcast, Fitness & Health, Travel & Outdoors",chatty/friendly/silly/spam emotes/troll,,Cam,,,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/1c1f7761-1743-4ba1-9d71-9e4b7e75ef7c-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100
,5,waterlynn,Water,Y,04/20/2020,274,"41,980",EN/CN,Chinese,"Just Chatting, Game",,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/11378655-1029-41b2-879e-116d0164b4ff-profile_image-300x300.png
,4,xChocobars,Janet,Y,07/18/2015,"2,026","581,190",EN/CN,Chinese,Game,chatty/chill/friendly/spam emotes,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/42bf357ccf3836ba-profile_image-300x300.jpeg
,5,yoojin,Yooj,Y,01/22/2018,177,"14,606",EN/KR,Korean,"Game, Just Chatting",,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/12d83411-c359-4167-9a26-7d5dfc12d6dd-profile_image-300x300.png
,4,yuggie_tv,yuggie,Y,08/10/2018,"1,274","82,029",EN/KR,Korean ,"Game, Just Chatting, Fitness & Health, Travel & Outdoors, Art",comfy/friendly/weird/spam emotes/silly,,Cam,,,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/9f0bd977-9e2b-464c-a11c-343f1b15d9f3-profile_image-300x300.png
,3,yunicorn19,Yuni,Y,08/07/2016,638,"63,382",KR/EN,Korean,"Just Chatting, Talk Shows & Podcast, Fitness & Health, Travel & Outdoors, Food & Drink, Music",comfy/funny/silly/slow/wholesome,chatty/friendly/troll/wholesome,Cam,,,TRUE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/yunicorn19-profile_image-693b37dca8fe22c9-300x300.jpeg
,4,yuri97,Yuri,Y,06/01/2019,112,"9,974",KR/EN,Korean American,"Just Chatting, Game, Travel & Outdoors",comfy/chill/friendly/funny/silly,,Cam,,,FALSE,,Follower only,F,https://static-cdn.jtvnw.net/jtv_user_pictures/430970c8-284e-437b-8574-91a9748f71ea-profile_image-300x300.png
,5,yvonnie,Yvonne,Y,09/04/2015,"1,600","246,547",EN,Chinese (Canto) Canadian,Game,,,Cam,,,FALSE,,Anyone,F,https://static-cdn.jtvnw.net/jtv_user_pictures/6275856f-df6b-4366-bc9e-3069bb3cdd06-profile_image-300x300.png
